Isolate,Location,Latitude,Longitude,Publication,Sequence_Type,Lab_Isolate,Other_info
BK1010_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1014_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1017_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1030_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1037_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1038_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1039_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1042_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1044_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1047_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1049_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK105_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1050_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1051_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1053_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1064_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1065_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1066_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1069_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1072_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK112_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1202_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1204_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK1206_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
